,test_ename,test_cname,specimen,reference_range,detail_link
0,Adenovirus 40/41 Ag,腺病毒40/41型抗原,糞便(stool),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=549&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
1,Chlamydia trachomatis IgG Ab,免疫球蛋白G型抗砂眼披衣菌抗體,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=593&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
2,Chlamydiae Antigen,披衣菌試驗－螢光法,cervical /eye smear,Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=204&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
3,Chlamydiae Antigen_2,披衣菌試驗－螢光法,鼻咽抽吸(Nasopharyngeal aspirate)、痰液 (Sputum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=537&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
4,Chlamydophila pneumoniae IgM Ab,免疫球蛋白M型抗肺炎披衣菌抗體,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=594&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
5,CMV Viral Load,巨細胞病毒定量,血漿(EDTA Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=90&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
6,Coxsackie virus B Antibody (type B1-B6),柯沙奇Ｂ型病毒抗體(B1-B6),血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=447&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
7,Cytomegalovirus IgG Ab,免疫球蛋白G型抗巨細胞病毒抗體,血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=448&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
8,Cytomegalovirus IgM Ab,免疫球蛋白M型抗巨細胞病毒抗體,血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=449&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
9,Dengue NS1 Ag Rapid Test,登革熱NS1抗原快速篩檢,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=505&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
