test_ename,test_cname,specimen,reference_range,notes,detail_link
APT test,APT檢測試驗,新生兒糞便(stool)新生兒胃液(Gastric juice)新生兒嘔吐物,Negative​,必須採集含血檢體，否則無法正確測出。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=153&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Ascites routine,腹水分析,腹水(Ascites),不適用(N/A),(1)抽出後加入總量1/10的3.8% Sodium citrate或少量Heparin液，防止凝固。(2)檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=17&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Ascites Routine(STAT),腹水分析,腹水(Ascites),不適用(N/A),(1)抽出後加入總量1/10的3.8% Sodium citrate或少量Heparin液，防止凝固。(2)檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=42&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Body  fluid Crystal Identification,體液結晶體檢查,關節液(Synovial fluid),Not found,以Sodium heparin為抗凝劑,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=18&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
CSF india ink preparation(STAT),腦脊髓液墨汁染色法,腦脊髓液(CSF),Not found,除血液樣檢體外，請勿添加任何抗凝劑。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=43&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
CSF Routine,腦脊髓液分析常規檢查,腦脊髓液(CSF),Cell count : 0 - 5 mono nuclear cells/μL,除血液樣檢體外，請勿添加任何抗凝劑。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=19&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
CSF Routine(STAT),腦脊髓液常規檢查,腦脊髓液(CSF),Cell count :  0 - 5 mono nuclear cells/μL,除血液樣檢體外，請勿添加任何抗凝劑。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=44&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"CSF, India ink (CSF)",墨汁染色/新型隱球菌暗視野檢查(腦脊髓液),腦脊髓液(CSF),Not found,除血液樣檢體外，請勿添加任何抗凝劑。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=20&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
ESR: 1HR,紅血球沈降速率檢查,全血(EDTA Whole Blood),♂：<15mm/1hr♀：< 20mm/1hr,檢體量需採足1.5mL(約半支紫頭管),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=506&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Immunochemical fecal occult blood test (iFOBT),糞便潛血反應檢查(免疫法定量),糞便(stool),Negative ( <100ng/mL),只能以專用容器送檢,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=135&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
